county,lat,lng
Twin Falls,42.356,-114.6672
Christian,36.9696,-93.1889
Dodge,43.4163,-88.7075
Lapeer,43.0901,-83.2218
Cullman,34.1319,-86.8676
Josephine,42.3655,-123.5555
Lincoln,35.4856,-81.2235
Burke,35.7496,-81.7048
Elmore,32.5966,-86.1492
Polk,44.9035,-123.4132
Bannock,42.6685,-112.2246
Angelina,31.2548,-94.6119
Island,48.163,-122.5481
Muskingum,39.9654,-81.9444
Jefferson,43.0208,-88.7759
Lawrence,40.9912,-80.3347
Newport,41.5568,-71.2363
Dougherty,31.5335,-84.2164
Orange,30.1213,-93.8939
Glynn,31.2309,-81.5407
Buchanan,39.6598,-94.8059
Cascade,47.308,-111.347
Barrow,33.9932,-83.7127
Wood,39.2112,-81.515
Orangeburg,33.439,-80.8003
Rockingham,38.512,-78.8757
Crawford,41.6847,-80.1062
Chemung,42.1413,-76.76
Midland,43.6468,-84.3881
Howard,40.4836,-86.1169
Indiana,40.652,-79.0876
Lee,34.2899,-88.6804
Coryell,31.3909,-97.7993
Lewis,46.5778,-122.3927
Henderson,32.2119,-95.8536
St. Landry,30.5989,-92.0058
Bullitt,37.9701,-85.6959
Bartholomew,39.206,-85.8976
Wagoner,35.9611,-95.5212
Payne,36.0773,-96.9756
Leavenworth,39.1993,-95.038
Monroe,25.3192,-81.1089
Yuba,39.269,-121.3513
Cape Girardeau,37.384,-89.6845
Manitowoc,44.1199,-87.8097
Talladega,33.3801,-86.1659
Caldwell,35.953,-81.5464
Kosciusko,41.2441,-85.8607
Floyd,38.3188,-85.907
Hancock,39.8236,-85.7733
Putnam,36.1408,-85.4952
Umatilla,45.5919,-118.7369
Clinton,44.7462,-73.6782
Bulloch,32.3968,-81.7432
Bedford,37.3152,-79.5242
Clearfield,41,-78.4742
Natrona,42.9622,-106.7986
Clinton,42.9437,-84.6015
Lynchburg,37.4003,-79.1909
Chelan,47.8692,-120.619
James City,37.3289,-76.7789
Oconee,34.7535,-83.0659
Sullivan,41.7164,-74.7681
Wilson,35.7051,-77.9187
Forrest,31.1889,-89.2579
Augusta,38.1644,-79.1339
Anderson,36.1185,-84.1985
Clallam,48.0493,-123.9308
Walker,30.739,-95.5723
White,35.2563,-91.7456
Jackson,34.1339,-83.5664
Cattaraugus,42.2486,-78.6788
Ross,39.3376,-83.057
Cole,38.5054,-92.2816
Chatham,35.7026,-79.2553
Walton,30.6436,-86.1697
Valencia,34.7155,-106.809
Cheshire,42.9193,-72.2512
Cayuga,42.9175,-76.5545
Grays Harbor,47.1503,-123.7735
Van Buren,42.2513,-86.0188
Erie,41.3641,-82.6194
